mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
1.501,0.907,5.691,0.685,0.443,0.133,6.952,7.93,0
1.913,0.893,3.8,0.544,0.323,0.132,4.8,7.754,0
2.34,0.886,3.247,0.483,0.316,0.132,4.178,7.682,0
2.416,0.892,3.073,0.442,0.288,0.124,3.927,7.646,0
2.512,0.898,2.879,0.432,0.267,0.111,3.689,7.761,0
2.646,0.899,2.54,0.414,0.266,0.111,3.331,7.711,0
2.766,0.902,2.46,0.382,0.254,0.11,3.205,7.593,0
2.932,0.909,2.474,0.39,0.242,0.108,3.215,7.758,0
2.753,0.914,2.32,0.365,0.23,0.097,3.011,7.696,0
2.961,0.912,2.116,0.356,0.229,0.093,2.793,7.712,0
2.921,0.92,2.092,0.342,0.209,0.096,2.739,7.589,0
3.041,0.924,2.128,0.361,0.208,0.091,2.788,7.776,0
2.979,0.93,1.921,0.332,0.192,0.089,2.533,7.594,0
3.038,0.932,1.849,0.32,0.187,0.087,2.443,7.636,0
3.146,0.935,1.86,0.325,0.183,0.083,2.452,7.589,0
2.587,0.883,2.079,0.456,0.365,0.132,3.032,8.048,0
2.498,0.922,1.788,0.466,0.219,0.1,2.574,7.495,0
2.509,0.926,1.882,0.495,0.235,0.101,2.713,7.614,0
3.324,0.886,2.705,0.658,0.347,0.257,3.968,6.97,0
3.979,0.901,1.994,0.521,0.267,0.202,2.984,6.713,0
3.606,0.917,1.987,0.535,0.238,0.191,2.951,6.797,0
3.954,0.922,1.835,0.45,0.219,0.178,2.681,6.696,0
3.882,0.925,1.552,0.421,0.209,0.166,2.349,6.715,0
3.877,0.927,1.633,0.402,0.197,0.155,2.387,6.822,0
4.562,0.862,2.016,0.418,0.908,0.289,3.63,7.07,0
4.82,0.888,1.661,0.364,0.92,0.211,3.156,6.951,0
4.928,0.902,1.479,0.333,0.856,0.177,2.845,6.986,0
4.897,0.912,1.39,0.297,0.631,0.158,2.475,6.982,0
4.902,0.926,1.257,0.275,0.477,0.145,2.154,6.969,0
